type,oc_dt,oc_p1
案類,發生日期,發生地點
住宅竊盜,1050101,基隆市中山區
住宅竊盜,1050101,新北市土城區
住宅竊盜,1050101,新北市新莊區
住宅竊盜,1050101,雲林縣口湖鄉
住宅竊盜,1050101,台南市學甲區
住宅竊盜,1050101,澎湖縣馬公市
住宅竊盜,1050101,澎湖縣馬公市
住宅竊盜,1050101,澎湖縣馬公市
住宅竊盜,1050101,台北市松山區
住宅竊盜,1050101,台北市文山區
住宅竊盜,1050102,台北市中山區
住宅竊盜,1050102,彰化縣彰化市
住宅竊盜,1050102,屏東縣萬巒鄉
住宅竊盜,1050102,花蓮縣花蓮市
住宅竊盜,1050102,台北市中正區
住宅竊盜,1050103,新北市三重區
住宅竊盜,1050103,台北市中山區
住宅竊盜,1050103,新北市板橋區
住宅竊盜,1050103,台北市信義區
住宅竊盜,1050103,南投縣草屯鎮
住宅竊盜,1050103,宜蘭縣蘇澳鎮
住宅竊盜,1050103,台北市大安區
住宅竊盜,1050104,南投縣埔里鎮
住宅竊盜,1050104,高雄市鳳山區
住宅竊盜,1050104,彰化縣鹿港鎮
住宅竊盜,1050104,台北市大安區
住宅竊盜,1050104,新北市泰山區
住宅竊盜,1050104,台北市內湖區
住宅竊盜,1050104,台北市松山區
住宅竊盜,1050104,新竹市香山區
住宅竊盜,1050104,新北市金山區
住宅竊盜,1050105,台南市學甲區
住宅竊盜,1050105,新北市新莊區
住宅竊盜,1050105,台中市豐原區
住宅竊盜,1050105,苗栗縣苗栗市
住宅竊盜,1050105,新北市中和區
住宅竊盜,1050105,台南市永康區
住宅竊盜,1050105,彰化縣彰化市
住宅竊盜,1050105,新北市中和區
住宅竊盜,1050105,桃園市八德區
住宅竊盜,1050105,台北市內湖區
住宅竊盜,1050105,高雄市美濃區
住宅竊盜,1050105,桃園市中壢區
住宅竊盜,1050106,台北市文山區
住宅竊盜,1050106,苗栗縣泰安鄉
住宅竊盜,1050106,台南市白河區
住宅竊盜,1050106,台南市下營區
住宅竊盜,1050106,桃園市大園區
住宅竊盜,1050106,台南市永康區
住宅竊盜,1050106,高雄市甲仙區
住宅竊盜,1050107,台東縣台東市
住宅竊盜,1050107,基隆市安樂區
住宅竊盜,1050107,宜蘭縣蘇澳鎮
住宅竊盜,1050107,彰化縣永靖鄉
住宅竊盜,1050107,新北市新莊區
住宅竊盜,1050107,桃園市中壢區
住宅竊盜,1050107,基隆市中山區
住宅竊盜,1050107,台北市信義區
住宅竊盜,1050107,台南市永康區
住宅竊盜,1050107,台南市學甲區
住宅竊盜,1050107,新北市板橋區
住宅竊盜,1050108,台南市佳里區
住宅竊盜,1050108,台東縣池上鄉
住宅竊盜,1050108,基隆市暖暖區
住宅竊盜,1050108,新北市汐止區
住宅竊盜,1050108,台中市潭子區
住宅竊盜,1050108,新竹市東區
住宅竊盜,1050108,苗栗縣後龍鎮
住宅竊盜,1050108,台北市文山區
住宅竊盜,1050108,桃園市中壢區
住宅竊盜,1050108,彰化縣彰化市
住宅竊盜,1050108,屏東縣屏東市
住宅竊盜,1050108,新北市新店區
住宅竊盜,1050109,宜蘭縣宜蘭市
住宅竊盜,1050109,宜蘭縣五結鄉
住宅竊盜,1050109,台南市東區
住宅竊盜,1050109,桃園市桃園區
住宅竊盜,1050109,台南市永康區
住宅竊盜,1050109,新北市林口區
住宅竊盜,1050109,新北市板橋區
住宅竊盜,1050109,台北市南港區
住宅竊盜,1050109,雲林縣林內鄉
住宅竊盜,1050109,新北市三重區
住宅竊盜,1050109,苗栗縣大湖鄉
住宅竊盜,1050109,花蓮縣花蓮市
住宅竊盜,1050109,宜蘭縣員山鄉
住宅竊盜,1050110,台南市東山區
住宅竊盜,1050110,台南市永康區
住宅竊盜,1050110,台北市松山區
住宅竊盜,1050110,台南市安平區
住宅竊盜,1050110,苗栗縣公館鄉
住宅竊盜,1050110,台南市北區
住宅竊盜,1050110,桃園市龜山區
住宅竊盜,1050110,桃園市中壢區
住宅竊盜,1050110,台北市內湖區
住宅竊盜,1050110,台北市文山區
住宅竊盜,1050110,台北市北投區
住宅竊盜,1050111,新北市三重區
住宅竊盜,1050111,屏東縣屏東市
住宅竊盜,1050111,澎湖縣七美鄉
住宅竊盜,1050111,台北市萬華區
住宅竊盜,1050111,台南市龍崎區
住宅竊盜,1050111,新北市新店區
住宅竊盜,1050111,新北市板橋區
住宅竊盜,1050111,台北市士林區
住宅竊盜,1050111,金門縣金沙鎮
住宅竊盜,1050111,高雄市杉林區
住宅竊盜,1050112,彰化縣彰化市
住宅竊盜,1050112,新竹市北區
住宅竊盜,1050112,台南市永康區
住宅竊盜,1050112,台南市安平區
住宅竊盜,1050112,新北市三重區
住宅竊盜,1050112,台中市北屯區
住宅竊盜,1050112,新北市土城區
住宅竊盜,1050112,新北市五股區
住宅竊盜,1050112,新竹市東區
住宅竊盜,1050112,桃園市龍潭區
住宅竊盜,1050112,台北市士林區
住宅竊盜,1050112,彰化縣鹿港鎮
住宅竊盜,1050113,台中市北區
住宅竊盜,1050113,新北市新莊區
住宅竊盜,1050113,新竹縣竹東鎮
住宅竊盜,1050113,台北市南港區
住宅竊盜,1050113,宜蘭縣蘇澳鎮
住宅竊盜,1050113,台北市內湖區
住宅竊盜,1050113,台北市大同區
住宅竊盜,1050114,屏東縣竹田鄉
住宅竊盜,1050114,台南市北區
住宅竊盜,1050114,台南市後壁區
住宅竊盜,1050114,台南市安平區
住宅竊盜,1050114,台北市大同區
住宅竊盜,1050114,台南市安平區
住宅竊盜,1050114,基隆市信義區
住宅竊盜,1050114,新北市中和區
住宅竊盜,1050114,台南市永康區
住宅竊盜,1050114,台南市永康區
住宅竊盜,1050114,台南市安平區
住宅竊盜,1050114,台北市中山區
住宅竊盜,1050115,基隆市仁愛區
住宅竊盜,1050115,嘉義縣中埔鄉
住宅竊盜,1050115,台北市南港區
住宅竊盜,1050115,花蓮縣花蓮市
住宅竊盜,1050115,雲林縣水林鄉
住宅竊盜,1050115,宜蘭縣五結鄉
住宅竊盜,1050115,新北市土城區
住宅竊盜,1050116,台南市七股區
住宅竊盜,1050116,桃園市中壢區
住宅竊盜,1050116,台北市內湖區
住宅竊盜,1050116,台北市北投區
住宅竊盜,1050116,新北市瑞芳區
住宅竊盜,1050116,台南市安平區
住宅竊盜,1050116,屏東縣新園鄉
住宅竊盜,1050116,桃園市桃園區
住宅竊盜,1050116,新北市新店區
住宅竊盜,1050117,彰化縣田尾鄉
住宅竊盜,1050117,花蓮縣花蓮市
住宅竊盜,1050118,桃園市龜山區
住宅竊盜,1050118,台南市七股區
住宅竊盜,1050118,台南市安南區
住宅竊盜,1050118,彰化縣彰化市
住宅竊盜,1050118,高雄市美濃區
住宅竊盜,1050118,台北市內湖區
住宅竊盜,1050119,台北市大同區
住宅竊盜,1050119,桃園市大園區
住宅竊盜,1050119,台北市中山區
住宅竊盜,1050119,台南市中西區
住宅竊盜,1050119,彰化縣彰化市
住宅竊盜,1050119,桃園市蘆竹區
住宅竊盜,1050119,彰化縣二林鎮
住宅竊盜,1050120,雲林縣斗南鎮
住宅竊盜,1050120,新北市新莊區
住宅竊盜,1050120,桃園市桃園區
住宅竊盜,1050120,桃園市桃園區
住宅竊盜,1050120,桃園市桃園區
住宅竊盜,1050120,台北市大安區
住宅竊盜,1050120,台北市萬華區
住宅竊盜,1050120,台南市白河區
住宅竊盜,1050120,嘉義市西區
住宅竊盜,1050120,台中市南區
住宅竊盜,1050121,台中市豐原區
住宅竊盜,1050121,台南市官田區
住宅竊盜,1050121,南投縣南投市
住宅竊盜,1050121,屏東縣內埔鄉
住宅竊盜,1050121,新北市土城區
住宅竊盜,1050121,桃園市平鎮區
住宅竊盜,1050121,高雄市鳳山區
住宅竊盜,1050121,台北市士林區
住宅竊盜,1050122,台南市安平區
住宅竊盜,1050122,新北市八里區
住宅竊盜,1050122,台南市安平區
住宅竊盜,1050122,台南市安平區
住宅竊盜,1050122,高雄市美濃區
住宅竊盜,1050122,台北市北投區
住宅竊盜,1050122,彰化縣鹿港鎮
住宅竊盜,1050122,澎湖縣西嶼鄉
住宅竊盜,1050122,高雄市美濃區
住宅竊盜,1050122,新北市深坑區
住宅竊盜,1050123,南投縣草屯鎮
住宅竊盜,1050123,新北市新莊區
住宅竊盜,1050123,台中市南屯區
住宅竊盜,1050124,台北市文山區
住宅竊盜,1050124,台北市中山區
住宅竊盜,1050124,南投縣埔里鎮
住宅竊盜,1050124,台南市北門區
住宅竊盜,1050125,新竹縣竹東鎮
住宅竊盜,1050125,高雄市鳳山區
住宅竊盜,1050125,桃園市平鎮區
住宅竊盜,1050125,台北市北投區
住宅竊盜,1050125,苗栗縣竹南鎮
住宅竊盜,1050125,台北市內湖區
住宅竊盜,1050125,台北市大安區
住宅竊盜,1050125,彰化縣秀水鄉
住宅竊盜,1050125,新竹縣關西鎮
住宅竊盜,1050125,高雄市美濃區
住宅竊盜,1050126,台北市士林區
住宅竊盜,1050126,彰化縣彰化市
住宅竊盜,1050126,台北市松山區
住宅竊盜,1050126,宜蘭縣宜蘭市
住宅竊盜,1050126,新北市板橋區
住宅竊盜,1050127,台北市北投區
住宅竊盜,1050127,新北市土城區
住宅竊盜,1050127,台北市內湖區
