type,oc_dt,oc_p1
案類,發生日期,發生地點
住宅竊盜,1040701,桃園市龜山區
住宅竊盜,1040701,台中市北屯區
住宅竊盜,1040701,苗栗縣苗栗市
住宅竊盜,1040701,新北市新店區
住宅竊盜,1040701,台中市太平區
住宅竊盜,1040701,台北市中山區
住宅竊盜,1040701,台中市龍井區
住宅竊盜,1040701,台南市西港區
住宅竊盜,1040701,苗栗縣通霄鎮
住宅竊盜,1040701,新北市三重區
住宅竊盜,1040701,花蓮縣吉安鄉
住宅竊盜,1040702,雲林縣土庫鎮
住宅竊盜,1040702,台南市鹽水區
住宅竊盜,1040702,新北市石碇區
住宅竊盜,1040702,台中市北屯區
住宅竊盜,1040702,台北市士林區
住宅竊盜,1040702,新竹縣新豐鄉
住宅竊盜,1040702,新北市永和區
住宅竊盜,1040702,新北市中和區
住宅竊盜,1040702,新竹市東區
住宅竊盜,1040702,嘉義縣太保市
住宅竊盜,1040702,新北市三芝區
住宅竊盜,1040703,新北市汐止區
住宅竊盜,1040703,新北市中和區
住宅竊盜,1040703,苗栗縣南庄鄉
住宅竊盜,1040703,桃園市大園區
住宅竊盜,1040703,台南市楠西區
住宅竊盜,1040703,台北市內湖區
住宅竊盜,1040703,新北市新莊區
住宅竊盜,1040703,高雄市大社區
住宅竊盜,1040703,桃園市平鎮區
住宅竊盜,1040703,屏東縣萬丹鄉
住宅竊盜,1040703,苗栗縣苗栗市
住宅竊盜,1040704,新北市三重區
住宅竊盜,1040704,金門縣金城鎮
住宅竊盜,1040704,台北市信義區
住宅竊盜,1040704,新北市中和區
住宅竊盜,1040704,台南市佳里區
住宅竊盜,1040704,基隆市中正區
住宅竊盜,1040704,花蓮縣玉里鎮
住宅竊盜,1040704,台中市潭子區
住宅竊盜,1040704,雲林縣古坑鄉
住宅竊盜,1040704,台北市萬華區
住宅竊盜,1040705,澎湖縣馬公市
住宅竊盜,1040705,南投縣信義鄉
住宅竊盜,1040705,新北市中和區
住宅竊盜,1040705,新北市汐止區
住宅竊盜,1040705,嘉義縣朴子市
住宅竊盜,1040705,台南市白河區
住宅竊盜,1040705,新北市蘆洲區
住宅竊盜,1040706,台北市北投區
住宅竊盜,1040706,台南市北區
住宅竊盜,1040706,基隆市七堵區
住宅竊盜,1040706,新北市蘆洲區
住宅竊盜,1040706,新北市樹林區
住宅竊盜,1040706,屏東縣屏東市
住宅竊盜,1040706,台中市北屯區
住宅竊盜,1040707,彰化縣彰化市
住宅竊盜,1040707,台北市萬華區
住宅竊盜,1040707,雲林縣崙背鄉
住宅竊盜,1040707,新北市永和區
住宅竊盜,1040707,台北市士林區
住宅竊盜,1040707,台北市文山區
住宅竊盜,1040707,新竹市北區
住宅竊盜,1040707,新北市淡水區
住宅竊盜,1040707,新北市三重區
住宅竊盜,1040707,高雄市楠梓區
住宅竊盜,1040707,基隆市安樂區
住宅竊盜,1040707,彰化縣大村鄉
住宅竊盜,1040707,基隆市安樂區
住宅竊盜,1040707,台北市萬華區
住宅竊盜,1040708,新北市深坑區
住宅竊盜,1040708,台北市文山區
住宅竊盜,1040708,新北市板橋區
住宅竊盜,1040708,台南市北區
住宅竊盜,1040709,彰化縣溪湖鎮
住宅竊盜,1040709,新竹市北區
住宅竊盜,1040709,新北市新莊區
住宅竊盜,1040709,新北市中和區
住宅竊盜,1040709,屏東縣新園鄉
住宅竊盜,1040709,台北市中山區
住宅竊盜,1040709,台中市東區
住宅竊盜,1040710,新北市中和區
住宅竊盜,1040710,新北市樹林區
住宅竊盜,1040710,新北市三重區
住宅竊盜,1040710,花蓮縣花蓮市
住宅竊盜,1040710,新北市三峽區
住宅竊盜,1040710,新北市三峽區
住宅竊盜,1040710,宜蘭縣頭城鎮
住宅竊盜,1040710,嘉義市西區
住宅竊盜,1040710,台南市安平區
住宅竊盜,1040710,雲林縣崙背鄉
住宅竊盜,1040711,屏東縣竹田鄉
住宅竊盜,1040711,花蓮縣花蓮市
住宅竊盜,1040711,新北市板橋區
住宅竊盜,1040711,花蓮縣瑞穗鄉
住宅竊盜,1040711,雲林縣二崙鄉
住宅竊盜,1040711,南投縣埔里鎮
住宅竊盜,1040711,高雄市鳳山區
住宅竊盜,1040711,台中市豐原區
住宅竊盜,1040712,雲林縣崙背鄉
住宅竊盜,1040712,高雄市湖內區
住宅竊盜,1040712,宜蘭縣羅東鎮
住宅竊盜,1040712,苗栗縣頭份市
住宅竊盜,1040712,台北市萬華區
住宅竊盜,1040712,宜蘭縣蘇澳鎮
住宅竊盜,1040712,新北市石門區
住宅竊盜,1040713,南投縣埔里鎮
住宅竊盜,1040713,新北市汐止區
住宅竊盜,1040713,彰化縣伸港鄉
住宅竊盜,1040713,彰化縣員林市
住宅竊盜,1040713,基隆市中正區
住宅竊盜,1040713,新竹市北區
住宅竊盜,1040713,彰化縣二林鎮
住宅竊盜,1040713,新竹縣竹東鎮
住宅竊盜,1040713,台北市中正區
住宅竊盜,1040713,新北市土城區
住宅竊盜,1040713,台中市豐原區
住宅竊盜,1040713,嘉義縣義竹鄉
住宅竊盜,1040713,屏東縣內埔鄉
住宅竊盜,1040714,新北市蘆洲區
住宅竊盜,1040714,新北市新莊區
住宅竊盜,1040714,桃園市蘆竹區
住宅竊盜,1040714,台中市豐原區
住宅竊盜,1040714,台中市石岡區
住宅竊盜,1040714,台中市沙鹿區
住宅竊盜,1040714,苗栗縣通霄鎮
住宅竊盜,1040714,苗栗縣苗栗市
住宅竊盜,1040714,台北市萬華區
住宅竊盜,1040714,台南市麻豆區
住宅竊盜,1040714,新竹市東區
住宅竊盜,1040715,桃園市桃園區
住宅竊盜,1040715,屏東縣屏東市
住宅竊盜,1040715,苗栗縣通霄鎮
住宅竊盜,1040715,新北市三峽區
住宅竊盜,1040715,台北市信義區
住宅竊盜,1040715,台北市萬華區
住宅竊盜,1040715,台北市中山區
住宅竊盜,1040715,南投縣南投市
住宅竊盜,1040716,新北市土城區
住宅竊盜,1040716,苗栗縣苑裡鎮
住宅竊盜,1040716,南投縣名間鄉
住宅竊盜,1040716,台南市安平區
住宅竊盜,1040716,台北市大安區
住宅竊盜,1040716,嘉義縣朴子市
住宅竊盜,1040717,屏東縣屏東市
住宅竊盜,1040717,新北市萬里區
住宅竊盜,1040717,苗栗縣苑裡鎮
住宅竊盜,1040717,新北市三峽區
住宅竊盜,1040717,雲林縣二崙鄉
住宅竊盜,1040717,南投縣草屯鎮
住宅竊盜,1040717,台北市中山區
住宅竊盜,1040717,新北市中和區
住宅竊盜,1040717,台南市西港區
住宅竊盜,1040717,台東縣台東市
住宅竊盜,1040717,雲林縣古坑鄉
住宅竊盜,1040717,南投縣南投市
住宅竊盜,1040718,台北市北投區
住宅竊盜,1040718,新北市中和區
住宅竊盜,1040718,桃園市龜山區
住宅竊盜,1040718,雲林縣麥寮鄉
住宅竊盜,1040718,台北市北投區
住宅竊盜,1040718,屏東縣三地門鄉
住宅竊盜,1040718,彰化縣社頭鄉
住宅竊盜,1040718,台北市松山區
住宅竊盜,1040718,宜蘭縣五結鄉
住宅竊盜,1040718,台南市永康區
住宅竊盜,1040718,台北市萬華區
住宅竊盜,1040719,新北市石碇區
住宅竊盜,1040719,苗栗縣三義鄉
住宅竊盜,1040719,新北市瑞芳區
住宅竊盜,1040719,宜蘭縣冬山鄉
住宅竊盜,1040719,新北市三重區
住宅竊盜,1040719,新北市五股區
住宅竊盜,1040720,新北市新莊區
住宅竊盜,1040720,雲林縣東勢鄉
住宅竊盜,1040720,桃園市平鎮區
住宅竊盜,1040720,台北市士林區
住宅竊盜,1040720,新竹縣關西鎮
住宅竊盜,1040720,台北市北投區
住宅竊盜,1040720,花蓮縣花蓮市
住宅竊盜,1040720,台南市安南區
住宅竊盜,1040720,台北市萬華區
住宅竊盜,1040720,台南市中西區
住宅竊盜,1040720,新竹市東區
住宅竊盜,1040721,基隆市中正區
住宅竊盜,1040721,新北市板橋區
住宅竊盜,1040721,基隆市七堵區
住宅竊盜,1040721,新竹縣橫山鄉
住宅竊盜,1040721,新北市林口區
住宅竊盜,1040721,雲林縣林內鄉
住宅竊盜,1040721,台東縣台東市
住宅竊盜,1040721,嘉義縣民雄鄉
住宅竊盜,1040721,新北市中和區
住宅竊盜,1040721,台北市松山區
住宅竊盜,1040722,雲林縣麥寮鄉
住宅竊盜,1040722,新北市中和區
住宅竊盜,1040722,台北市萬華區
住宅竊盜,1040723,新竹市北區
住宅竊盜,1040723,台北市松山區
住宅竊盜,1040723,彰化縣芳苑鄉
住宅竊盜,1040723,花蓮縣瑞穗鄉
住宅竊盜,1040723,新北市樹林區
住宅竊盜,1040723,基隆市中山區
住宅竊盜,1040723,新北市三重區
